County_code,Registration_Number,Voter_status,Last_name,First_name,Middle_maiden_name,Name_suffix,Residence_house_number,Residence_street_name,Residence_street_suffix,Residence_apt_unit_nbr,Residence_city,Residence_zipcode,Year_of_Birth,Registration_date,Race,Gender,County_precinct_id,Date_last_voted,Land_district,Congressional_district
106,9000014,I,Placeholder,Specimen,Q.,Sr,1847,Testing,Dr,,Columbus,30937,1970,20241125,HP,U,MUS-015,20240524,21,7
106,9000015,A,FakeRow,Synthetic,Q.,,4273,Testing,Dr,,Columbus,30941,1991,20041021,U,U,MUS-057,,24,3
44,9000016,A,Placeholder,Placeholder,,,6961,Mockup,Ln,,Decatur,30164,1977,19980906,U,F,DEK-068,20190511,17,13
29,9000017,A,DoNotShip,Specimen,Q.,,6256,Example,Blvd,Apt 34,Athens,30846,1961,20250323,OT,M,CLA-032,20200310,3,3
60,9000018,A,Example,Placeholder,,,2450,Synthetic,Way,,Atlanta,30657,1977,20131122,OT,M,FUL-048,,25,1
60,9000019,A,Output,Mockup,,,4428,Placeholder,Rd,Apt 40,Atlanta,30879,2002,19910604,OT,U,FUL-127,20230125,3,13
60,9000020,A,Synthetic,Stand-In,Q.,,8518,Example,Blvd,,Atlanta,30450,1941,20230212,BH,M,FUL-068,20200417,22,12
25,9000021,A,DoNotShip,Example,Q.,,6341,Mockup,Ln,,Savannah,30839,1970,20140606,U,F,CHA-069,20180608,24,14
106,9000022,A,Output,Specimen,Q.,,2589,Mockup,Ln,Apt 21,Columbus,30689,1978,20200521,U,F,MUS-002,20190704,18,1
121,9000023,A,Fixture,Placeholder,Q.,,7890,Example,Blvd,Apt 47,Augusta,30635,1944,20150710,AI,M,RIC-197,,14,13
44,9000024,A,DoNotShip,Specimen,,,3207,Mockup,Ln,,Decatur,30700,1995,20141027,OT,U,DEK-073,,12,14
25,9000025,A,FakeRow,Fixture,,Jr,7137,Testing,Dr,Apt 2,Savannah,30669,1954,19990222,AP,M,CHA-047,20221117,17,1
11,9000026,A,Example,Mockup,,,4944,Specimen,Ct,Apt 30,Macon,30186,1940,20140713,BH,M,BIB-003,20230719,26,7
25,9000027,A,Output,Stand-In,,,4173,Imaginary,St,,Savannah,30452,1975,20240506,BH,U,CHA-023,20180213,28,5
60,9000028,I,Fixture,Example,Q.,,9301,Imaginary,St,,Atlanta,30391,1957,20140203,U,F,FUL-093,20230604,24,9
29,9000029,A,TestRecord,Fixture,Q.,,3839,Specimen,Ct,Apt 3,Athens,30948,1990,20040719,U,U,CLA-027,,24,11
29,9000030,I,NotReal,Synthetic,Q.,Jr,6533,Testing,Dr,,Athens,30193,1984,20181225,AI,U,CLA-011,,22,7
44,9000031,A,Example,Synthetic,,,5655,Example,Blvd,,Decatur,30262,1970,20071206,OT,U,DEK-088,20210912,16,8
11,9000032,A,FakeRow,Testing,,,4716,Example,Blvd,,Macon,30371,1955,20220925,U,F,BIB-063,20210717,26,6
44,9000033,A,Synthetic,Stand-In,Q.,,9478,Fictional,Ave,,Decatur,30630,1986,20051014,BH,M,DEK-009,20241220,6,12
11,9000034,A,Example,Stand-In,Q.,,883,Example,Blvd,,Macon,30470,1965,20050316,AI,F,BIB-151,,6,10
44,9000035,A,Synthetic,Specimen,,,3311,Specimen,Ct,,Decatur,30549,1987,20141209,OT,U,DEK-166,20230522,4,2
25,9000036,I,FakeRow,Dummy,Q.,,4929,Fictional,Ave,,Savannah,30935,1981,20161003,WH,M,CHA-058,20210714,12,4
29,9000037,A,Example,Specimen,,,5797,Testing,Dr,,Athens,30506,1953,20151021,U,U,CLA-056,,16,2
25,9000038,A,Generator,Sample,Q.,,8101,Example,Blvd,,Savannah,30278,1988,20110826,BH,F,CHA-186,20251016,8,7
60,9000039,A,FakeRow,Synthetic,Q.,,2727,Example,Blvd,,Atlanta,30900,1960,20080822,OT,U,FUL-165,20210825,26,4
11,9000040,I,DoNotShip,Example,Q.,,8246,Mockup,Ln,,Macon,30965,1957,20250523,HP,U,BIB-183,20200607,9,5
106,9000041,A,Placeholder,Example,Q.,,5628,Synthetic,Way,,Columbus,30536,1985,19910812,WH,U,MUS-077,20210704,24,3
121,9000042,A,Fixture,Mockup,,,4199,Specimen,Ct,,Augusta,30171,1954,20100120,HP,F,RIC-086,20250616,5,12
25,9000043,I,Example,Placeholder,,,339,Fictional,Ave,,Savannah,30149,1955,19930308,HP,F,CHA-072,,26,13
44,9000044,I,Generator,Sample,Q.,II,1647,Testing,Dr,,Decatur,30334,1978,20130727,AI,F,DEK-145,20180611,2,11
106,9000045,I,DoNotShip,Specimen,,,6389,Placeholder,Rd,,Columbus,30745,1975,19940919,AP,F,MUS-029,20200608,12,11
121,9000046,I,DoNotShip,Dummy,Q.,,5828,Fictional,Ave,,Augusta,30981,1969,20141003,OT,U,RIC-147,20250219,8,7
29,9000047,I,Generator,Placeholder,Q.,,2175,Mockup,Ln,Apt 48,Athens,30961,1997,20050711,HP,M,CLA-161,20180911,2,12
29,9000048,A,FakeRow,Dummy,,,3899,Imaginary,St,,Athens,30171,1996,20220613,WH,M,CLA-020,,2,9
29,9000049,A,FakeRow,Stand-In,Q.,,6492,Imaginary,St,Apt 6,Athens,30491,1954,20220109,AI,F,CLA-105,20231201,30,9
