voterbase_id,vf_reg_state,vf_county_name,vf_county_code,vf_reg_zip,vf_reg_city,vf_reg_address1,vf_reg_address2,vf_cd,vf_voter_status,tsmart_first_name,tsmart_middle_name,tsmart_last_name,vf_g2018,vf_g2020,vf_early_voter_status,vf_reg_cass_state,vf_precinct_name
TS009000033,GA,BIBB,13021,30339,MACON,1164 FICTIONAL AVE,,11,ACTIVE,TESTING,Z.,OUTPUT,Y,,1,GA,BIB-094
TS009000034,GA,CHATHAM,13051,30922,SAVANNAH,8520 EXAMPLE BLVD,APT 48,09,ACTIVE,FIXTURE,X.,EXAMPLE,,,1,GA,CHA-176
TS009000035,GA,CLARKE,13059,30626,ATHENS,751 MOCKUP LN,,14,ACTIVE,EXAMPLE,X.,NOTREAL,Y,N,1,GA,CLA-060
TS009000036,GA,BIBB,13021,30496,MACON,4307 SPECIMEN CT,,14,INACTIVE,SAMPLE,T.,FAKEROW,,,0,GA,BIB-005
TS009000037,GA,MUSCOGEE,13215,30589,COLUMBUS,9431 SYNTHETIC WAY,,14,INACTIVE,FIXTURE,Z.,FAKEROW,,,,GA,MUS-063
TS009000038,GA,RICHMOND,13245,30106,AUGUSTA,2589 SYNTHETIC WAY,,08,INACTIVE,STAND-IN,,SYNTHETIC,Y,Y,,GA,RIC-018
TS009000039,GA,CHATHAM,13051,30785,SAVANNAH,6630 IMAGINARY ST,,03,ACTIVE,DUMMY,X.,NOTREAL,,N,,GA,CHA-187
TS009000040,GA,BIBB,13021,30444,MACON,7161 EXAMPLE BLVD,,11,ACTIVE,DUMMY,T.,TESTRECORD,N,N,,GA,BIB-107
TS009000041,GA,CLARKE,13059,30392,ATHENS,3103 EXAMPLE BLVD,APT 34,14,ACTIVE,STAND-IN,X.,FIXTURE,Y,N,1,GA,CLA-143
TS009000042,GA,RICHMOND,13245,30362,AUGUSTA,1874 IMAGINARY ST,APT 43,11,ACTIVE,FIXTURE,X.,EXAMPLE,Y,N,0,GA,RIC-064
TS009000043,GA,CHATHAM,13051,30946,SAVANNAH,8281 PLACEHOLDER RD,APT 25,11,ACTIVE,FIXTURE,Q.,PLACEHOLDER,,Y,,GA,CHA-191
TS009000044,GA,BIBB,13021,30702,MACON,6443 SPECIMEN CT,,14,INACTIVE,MOCKUP,Q.,NOTREAL,,N,,GA,BIB-078
TS009000045,GA,CHATHAM,13051,30925,SAVANNAH,133 PLACEHOLDER RD,,07,ACTIVE,SYNTHETIC,,FIXTURE,,N,,GA,CHA-079
TS009000046,GA,CHATHAM,13051,30642,SAVANNAH,1454 IMAGINARY ST,,06,INACTIVE,PLACEHOLDER,T.,FAKEROW,Y,N,1,GA,CHA-015
TS009000047,GA,CLARKE,13059,30792,ATHENS,4660 SYNTHETIC WAY,,14,ACTIVE,EXAMPLE,,FAKEROW,N,N,1,GA,CLA-086
TS009000048,GA,BIBB,13021,30499,MACON,9301 SYNTHETIC WAY,,13,INACTIVE,SAMPLE,T.,EXAMPLE,Y,N,1,GA,BIB-011
TS009000049,GA,BIBB,13021,30121,MACON,6446 EXAMPLE BLVD,,05,ACTIVE,FIXTURE,T.,NOTREAL,Y,Y,1,GA,BIB-182
